owner_id,isbn,title,author,cover_image_url,condition,status,ai_summary,genre,why_read,tags
1,"9780593135204","Project Hail Mary","Andy Weir","{""https://covers.openlibrary.org/b/isbn/9780593135204-L.jpg"",""https://covers.openlibrary.org/b/isbn/9780593135204-M.jpg""}","like_new","requested","A lone astronaut wakes with amnesia aboard a spacecraft and must piece together his memory and his mission to stop an extinction-level event.","Science Fiction","Hard science that never gets in the way of the heart. The first-contact friendship at its centre is the most joyful thing in modern sci-fi.","{""sci-fi"",""space"",""first-contact"",""page-turner""}"
1,"9780735211292","Atomic Habits","James Clear","{""https://covers.openlibrary.org/b/isbn/9780735211292-L.jpg""}","good","borrowed","A practical framework for building good habits and breaking bad ones by focusing on tiny, compounding changes to systems rather than goals.","Self-Help","Read it if you keep setting goals and missing them. The chapter on habit stacking alone changes how you plan a morning.","{""habits"",""productivity"",""psychology"",""non-fiction""}"
2,"9780062316097","Sapiens: A Brief History of Humankind","Yuval Noah Harari","{""https://covers.openlibrary.org/b/isbn/9780062316097-L.jpg"",""https://covers.openlibrary.org/b/isbn/9780062316097-M.jpg""}","good","available","A sweeping account of how Homo sapiens went from an unremarkable ape to the dominant species, driven by shared fictions like money, nations and religion.","History","It reframes everything you assumed was permanent as a story we agreed to believe. Uncomfortable in the best way.","{""history"",""anthropology"",""big-ideas""}"
2,"9780441013593","Dune","Frank Herbert","{""https://covers.openlibrary.org/b/isbn/9780441013593-L.jpg""}","fair","available","On the desert planet Arrakis, a young heir to a fallen house is drawn into a war over the universe's most valuable resource and into a prophecy he never asked for.","Science Fiction","The blueprint for every epic that came after it. Politics, ecology and religion braided into one story.","{""sci-fi"",""classic"",""epic"",""world-building""}"
2,"9780061120084","To Kill a Mockingbird","Harper Lee","{""https://covers.openlibrary.org/b/isbn/9780061120084-L.jpg""}","worn","requested","Through the eyes of a child in the Depression-era South, a lawyer defends a Black man falsely accused of rape and the town turns on them both.","Literary Fiction","Scout's narration keeps it human rather than preachy. A short book that stays with you for decades.","{""classic"",""coming-of-age"",""justice""}"
3,"9780316769488","The Catcher in the Rye","J.D. Salinger","{""https://covers.openlibrary.org/b/isbn/9780316769488-L.jpg""}","good","available","Expelled from prep school, Holden Caulfield wanders New York City for three days, raging at phoniness while quietly falling apart.","Literary Fiction","Everyone argues about whether Holden is insufferable or heartbreaking. Read it and pick a side.","{""classic"",""coming-of-age"",""americana""}"
3,"9780545010221","Harry Potter and the Deathly Hallows","J.K. Rowling","{""https://covers.openlibrary.org/b/isbn/9780545010221-L.jpg"",""https://covers.openlibrary.org/b/isbn/9780545010221-M.jpg""}","like_new","borrowed","The final year: three friends abandon school to hunt the fragments of a dark wizard's soul before he finishes remaking the world in his image.","Fantasy","The one where the series stops being about school and starts being about loss. Worth rereading as an adult.","{""fantasy"",""ya"",""series"",""magic""}"
3,"9781594631931","The Kite Runner","Khaled Hosseini","{""https://covers.openlibrary.org/b/isbn/9781594631931-L.jpg""}","good","requested","A privileged boy in Kabul betrays his closest friend, then spends the rest of his life and a return to Taliban-era Afghanistan trying to atone.","Literary Fiction","A book about guilt that refuses to let its narrator off easily. Read it for the last quarter.","{""fiction"",""afghanistan"",""friendship"",""redemption""}"
4,"9780374533557","Thinking, Fast and Slow","Daniel Kahneman","{""https://covers.openlibrary.org/b/isbn/9780374533557-L.jpg""}","fair","available","A Nobel laureate maps the two systems behind human thought: the fast, intuitive one that runs most of your life, and the slow, deliberate one that rarely checks its work.","Psychology","You will catch yourself making the exact errors he describes while reading the chapter that describes them.","{""psychology"",""behavioural-economics"",""non-fiction"",""dense""}"
4,"9780143127741","Being Mortal","Atul Gawande","{""https://covers.openlibrary.org/b/isbn/9780143127741-L.jpg""}","new","available","A surgeon examines how modern medicine handles ageing and dying, and argues that prolonging life has crowded out the question of what makes it worth living.","Non-Fiction","Hard to start, impossible to put down. It gives you the vocabulary for conversations you have been avoiding with your parents.","{""medicine"",""non-fiction"",""ageing"",""essential""}"
5,"9780553380163","A Brief History of Time","Stephen Hawking","{""https://covers.openlibrary.org/b/isbn/9780553380163-L.jpg""}","worn","requested","Black holes, the Big Bang and the arrow of time, explained for readers with no physics background and almost no equations.","Science","The famous book everyone owns and nobody finishes. Read the first four chapters properly and it clicks.","{""physics"",""cosmology"",""science"",""classic""}"
5,"9780307887894","The Lean Startup","Eric Ries","{""https://covers.openlibrary.org/b/isbn/9780307887894-L.jpg""}","good","borrowed","A method for building companies under extreme uncertainty: ship a minimum viable product, measure real behaviour, and pivot before you run out of runway.","Business","Dated in its examples, still correct in its argument. The build-measure-learn loop is the part that matters.","{""business"",""startups"",""product"",""non-fiction""}"
