created_at,book_id,borrower_id,owner_id,status
2026-03-18 09:14:00+00,10,2,4,"returned"
2026-04-22 17:41:00+00,6,12,3,"returned"
2026-05-14 11:05:00+00,3,8,2,"returned"
2026-06-02 08:27:00+00,4,11,2,"rejected"
2026-06-20 19:53:00+00,1,4,1,"rejected"
2026-07-03 13:16:00+00,9,5,4,"rejected"
2026-07-15 10:02:00+00,7,2,3,"borrowed"
2026-07-28 14:32:00+00,2,6,1,"borrowed"
2026-08-01 16:48:00+00,12,9,5,"borrowed"
2026-08-05 07:59:00+00,2,11,1,"pending"
2026-08-09 21:11:00+00,1,10,1,"pending"
2026-08-10 12:24:00+00,5,7,2,"pending"
2026-08-11 08:37:00+00,11,3,5,"accepted"
2026-08-11 18:06:00+00,12,6,5,"pending"
2026-08-12 09:45:00+00,8,1,3,"pending"
